Features,*[VRelProm] -> /Unstress/,*[V] -> /VV/,*[0] -> /Vfull/,*[0] -> /Vweak/,*[V] -> /Vweak/,*/VV/ -> |V|,*/V/ -> |VV|,*/Vfull/ -> |Vweak|,*/Vweak/ -> |Vfull|,*|Vfull| -> /Vweak/,*|Vweak| -> [Vfull],*|V| -> /VV/,*|VV| -> /V/,*/Unstress-iFull/,*/Unstress-Vfull/,*/Vweak/,*/StressVweak/,/FootBin/,/Align-PWd.R.Ft.R/,/Align-PWd.L.Ft.L/,/Align-Ft.R.PWd.R/,,
Transition,|fAlAkiseni|,(2)/fa(l`aki)(s'eni)/,,,,,,,,,,,2,,,,1,,,,,1,2
Transition,|fAlAkiseni|,(2)/(f`Ala)ki(s'eni)/,,,,,,,,,,,1,,,,1,1,1,,,,3
Transition,|fAlAkiseni|,(2)/fA(l`aki)(s'eni)/,,,,,,,,,,,1,,,,,1,,,,1,2
Transition,|fAlAkiseni|,(2)/(f`alA)ki(s'eni)/,,,,,,,,,,,1,,,,,1,,,,,3
Transition,|fAlAkiseni|,(2)/fa(l`Aki)(s'eni)/,,,,,,,,,,,1,,,,1,1,1,,,1,2
Transition,|fAlAkiseni|,(2)/(f`AlA)ki(s'eni)/,,,,,,,,,,,,,,,,2,1,,,,3
Transition,|fAlAkiseni|,(2)/fA(l`Aki)(s'eni)/,,,,,,,,,,,,,,,,2,1,,,1,2
*Transition,[k`ANg3r'u],/(k`agi)ka(l'uu)/,1,,1,,,,,,,,,,,,1,,,,,,3
Transition,[k`ANg3r'u],/ka(g`ika)(l'uu)/,2,,1,,,,,,,,,,,,1,,,,,1,2
Transition,[k`ANg3r'u],/(k`Agi)ka(l'uu)/,1,,1,,1,,,,,,,,,,1,1,1,,,,3
Transition,[k`ANg3r'u],/kA(g`ika)(l'uu)/,2,,1,,1,,,,,,,,,,,1,,,,1,2
Transition,[k`ANg3r'u],/(k`agI)ka(l'uu)/,1,,,1,,,,,,,,,,,,1,,,,,3
Transition,[k`ANg3r'u],/ka(g`Ika)(l'uu)/,2,,,1,,,,,,,,,,,1,1,1,,,1,2
Transition,[k`ANg3r'u],/(k`AgI)ka(l'uu)/,1,,,1,1,,,,,,,,,,,2,1,,,,3
Transition,[k`ANg3r'u],/kA(g`Ika)(l'uu)/,2,,,1,1,,,,,,,,,,,2,1,,,1,2
Transition,/(k`agi)ka(l'uu)/,|kagikaluu|,,,,,,,,,,,,,,,,,,,,,
Transition,/(k`agi)ka(l'uu)/,|kagIkaluu|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(k`agi)ka(l'uu)/,|kAgikaluu|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(k`agi)ka(l'uu)/,|kAgIkaluu|,,,,,,,,2,,,,,,,,,,,,,
Transition,/ka(g`ika)(l'uu)/,|kagikaluu|,,,,,,,,,,,,,,,,,,,,,
Transition,/ka(g`ika)(l'uu)/,|kagIkaluu|,,,,,,,,1,,,,,,,,,,,,,
Transition,/ka(g`ika)(l'uu)/,|kAgikaluu|,,,,,,,,1,,,,,,,,,,,,,
Transition,/ka(g`ika)(l'uu)/,|kAgIkaluu|,,,,,,,,2,,,,,,,,,,,,,
Transition,/(k`Agi)ka(l'uu)/,|kagikaluu|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(k`Agi)ka(l'uu)/,|kagIkaluu|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/(k`Agi)ka(l'uu)/,|kAgikaluu|,,,,,,,,,,,,,,,,,,,,,
Transition,/(k`Agi)ka(l'uu)/,|kAgIkaluu|,,,,,,,,1,,,,,,,,,,,,,
Transition,/kA(g`ika)(l'uu)/,|kagikaluu|,,,,,,,,,1,,,,,,,,,,,,
Transition,/kA(g`ika)(l'uu)/,|kagIkaluu|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/kA(g`ika)(l'uu)/,|kAgikaluu|,,,,,,,,,,,,,,,,,,,,,
Transition,/kA(g`ika)(l'uu)/,|kAgIkaluu|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(k`agI)ka(l'uu)/,|kagikaluu|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(k`agI)ka(l'uu)/,|kagIkaluu|,,,,,,,,,,,,,,,,,,,,,
Transition,/(k`agI)ka(l'uu)/,|kAgikaluu|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/(k`agI)ka(l'uu)/,|kAgIkaluu|,,,,,,,,1,,,,,,,,,,,,,
Transition,/ka(g`Ika)(l'uu)/,|kagikaluu|,,,,,,,,,1,,,,,,,,,,,,
Transition,/ka(g`Ika)(l'uu)/,|kagIkaluu|,,,,,,,,,,,,,,,,,,,,,
Transition,/ka(g`Ika)(l'uu)/,|kAgikaluu|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/ka(g`Ika)(l'uu)/,|kAgIkaluu|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(k`AgI)ka(l'uu)/,|kagikaluu|,,,,,,,,,2,,,,,,,,,,,,
Transition,/(k`AgI)ka(l'uu)/,|kagIkaluu|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(k`AgI)ka(l'uu)/,|kAgikaluu|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(k`AgI)ka(l'uu)/,|kAgIkaluu|,,,,,,,,,,,,,,,,,,,,,
Transition,/kA(g`Ika)(l'uu)/,|kagikaluu|,,,,,,,,,2,,,,,,,,,,,,
Transition,/kA(g`Ika)(l'uu)/,|kagIkaluu|,,,,,,,,,1,,,,,,,,,,,,
Transition,/kA(g`Ika)(l'uu)/,|kAgikaluu|,,,,,,,,,1,,,,,,,,,,,,
Transition,/kA(g`Ika)(l'uu)/,|kAgIkaluu|,,,,,,,,,,,,,,,,,,,,,
Transition,|kagikaluu|,(2)/(k`agi)ka(l'uu)/,,,,,,,,,,,,,,,,,,,,,
Transition,|kagikaluu|,(2)/ka(g`ika)(l'uu)/,,,,,,,,,,,,,,,,,,,,,
Transition,|kagikaluu|,(2)/(k`Agi)ka(l'uu)/,,,,,,,,,,1,,,,,,,,,,,
Transition,|kagikaluu|,(2)/kA(g`ika)(l'uu)/,,,,,,,,,,1,,,,,,,,,,,
Transition,|kagikaluu|,(2)/(k`agI)ka(l'uu)/,,,,,,,,,,1,,,,,,,,,,,
Transition,|kagikaluu|,(2)/ka(g`Ika)(l'uu)/,,,,,,,,,,1,,,,,,,,,,,
Transition,|kagikaluu|,(2)/(k`AgI)ka(l'uu)/,,,,,,,,,,2,,,,,,,,,,,
Transition,|kagikaluu|,(2)/kA(g`Ika)(l'uu)/,,,,,,,,,,2,,,,,,,,,,,
Transition,|kagIkaluu|,(2)/(k`agi)ka(l'uu)/,,,,,,,,,,,1,,,,1,,,,,,3
Transition,|kagIkaluu|,(2)/ka(g`ika)(l'uu)/,,,,,,,,,,,1,,,,1,,,,,1,2
Transition,|kagIkaluu|,(2)/(k`Agi)ka(l'uu)/,,,,,,,,,,1,1,,,,1,1,1,,,,3
Transition,|kagIkaluu|,(2)/kA(g`ika)(l'uu)/,,,,,,,,,,1,1,,,,,1,,,,1,2
Transition,|kagIkaluu|,(2)/(k`agI)ka(l'uu)/,,,,,,,,,,,,,,,,1,,,,,3
Transition,|kagIkaluu|,(2)/ka(g`Ika)(l'uu)/,,,,,,,,,,,,,,,1,1,1,,,1,2
Transition,|kagIkaluu|,(2)/(k`AgI)ka(l'uu)/,,,,,,,,,,1,,,,,,2,1,,,,3
Transition,|kagIkaluu|,(2)/kA(g`Ika)(l'uu)/,,,,,,,,,,1,,,,,,2,1,,,1,2
Transition,|kAgikaluu|,(2)/(k`agi)ka(l'uu)/,,,,,,,,,,,1,,,,1,,,,,,3
Transition,|kAgikaluu|,(2)/ka(g`ika)(l'uu)/,,,,,,,,,,,1,,,,1,,,,,1,2
Transition,|kAgikaluu|,(2)/(k`Agi)ka(l'uu)/,,,,,,,,,,,,,,,1,1,1,,,,3
Transition,|kAgikaluu|,(2)/kA(g`ika)(l'uu)/,,,,,,,,,,,,,,,,1,,,,1,2
Transition,|kAgikaluu|,(2)/(k`agI)ka(l'uu)/,,,,,,,,,,1,1,,,,,1,,,,,3
Transition,|kAgikaluu|,(2)/ka(g`Ika)(l'uu)/,,,,,,,,,,1,1,,,,1,1,1,,,1,2
Transition,|kAgikaluu|,(2)/(k`AgI)ka(l'uu)/,,,,,,,,,,1,,,,,,2,1,,,,3
Transition,|kAgikaluu|,(2)/kA(g`Ika)(l'uu)/,,,,,,,,,,1,,,,,,2,1,,,1,2
Transition,|kAgIkaluu|,(2)/(k`agi)ka(l'uu)/,,,,,,,,,,,2,,,,1,,,,,,3
Transition,|kAgIkaluu|,(2)/ka(g`ika)(l'uu)/,,,,,,,,,,,2,,,,1,,,,,1,2
Transition,|kAgIkaluu|,(2)/(k`Agi)ka(l'uu)/,,,,,,,,,,,1,,,,1,1,1,,,,3
Transition,|kAgIkaluu|,(2)/kA(g`ika)(l'uu)/,,,,,,,,,,,1,,,,,1,,,,1,2
Transition,|kAgIkaluu|,(2)/(k`agI)ka(l'uu)/,,,,,,,,,,,1,,,,,1,,,,,3
Transition,|kAgIkaluu|,(2)/ka(g`Ika)(l'uu)/,,,,,,,,,,,1,,,,1,1,1,,,1,2
Transition,|kAgIkaluu|,(2)/(k`AgI)ka(l'uu)/,,,,,,,,,,,,,,,,2,1,,,,3
Transition,|kAgIkaluu|,(2)/kA(g`Ika)(l'uu)/,,,,,,,,,,,,,,,,2,1,,,1,2
*Transition,[m'an3gr`Am] (ignoring a and e insertion),/(m`ono)ka(l'ame)/,,,,,,,,,,,,,,,1,,,,,,3
Transition,[m'an3gr`Am] (ignoring a and e insertion),/mo(n`oka)(l'ame)/,1,,,,,,,,,,,,,,1,,,,,1,2
Transition,[m'an3gr`Am] (ignoring a and e insertion),/(m`Ono)ka(l'ame)/,,,,,1,,,,,,,,,,1,1,1,,,,3
Transition,[m'an3gr`Am] (ignoring a and e insertion),/mO(n`oka)(l'ame)/,1,,,,1,,,,,,,,,,,1,,,,1,2
Transition,[m'an3gr`Am] (ignoring a and e insertion),/(m`onO)ka(l'ame)/,,,,,1,,,,,,,,,,,1,,,,,3
Transition,[m'an3gr`Am] (ignoring a and e insertion),/mo(n`Oka)(l'ame)/,1,,,,1,,,,,,,,,,1,1,1,,,1,2
Transition,[m'an3gr`Am] (ignoring a and e insertion),/(m`OnO)ka(l'ame)/,,,,,2,,,,,,,,,,,2,1,,,,3
Transition,[m'an3gr`Am] (ignoring a and e insertion),/mO(n`Oka)(l'ame)/,1,,,,2,,,,,,,,,,,2,1,,,1,2
Transition,/(m`ono)ka(l'ame)/,|monokalame|,,,,,,,,,,,,,,,,,,,,,
Transition,/(m`ono)ka(l'ame)/,|mOnokalame|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(m`ono)ka(l'ame)/,|monOkalame|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(m`ono)ka(l'ame)/,|mOnOkalame|,,,,,,,,2,,,,,,,,,,,,,
Transition,/mo(n`oka)(l'ame)/,|monokalame|,,,,,,,,,,,,,,,,,,,,,
Transition,/mo(n`oka)(l'ame)/,|mOnokalame|,,,,,,,,1,,,,,,,,,,,,,
Transition,/mo(n`oka)(l'ame)/,|monOkalame|,,,,,,,,1,,,,,,,,,,,,,
Transition,/mo(n`oka)(l'ame)/,|mOnOkalame|,,,,,,,,2,,,,,,,,,,,,,
Transition,/(m`Ono)ka(l'ame)/,|monokalame|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(m`Ono)ka(l'ame)/,|mOnokalame|,,,,,,,,,,,,,,,,,,,,,
Transition,/(m`Ono)ka(l'ame)/,|monOkalame|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/(m`Ono)ka(l'ame)/,|mOnOkalame|,,,,,,,,1,,,,,,,,,,,,,
Transition,/mO(n`oka)(l'ame)/,|monokalame|,,,,,,,,,1,,,,,,,,,,,,
Transition,/mO(n`oka)(l'ame)/,|mOnokalame|,,,,,,,,,,,,,,,,,,,,,
Transition,/mO(n`oka)(l'ame)/,|monOkalame|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/mO(n`oka)(l'ame)/,|mOnOkalame|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(m`onO)ka(l'ame)/,|monokalame|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(m`onO)ka(l'ame)/,|mOnokalame|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/(m`onO)ka(l'ame)/,|monOkalame|,,,,,,,,,,,,,,,,,,,,,
Transition,/(m`onO)ka(l'ame)/,|mOnOkalame|,,,,,,,,1,,,,,,,,,,,,,
Transition,/mo(n`Oka)(l'ame)/,|monokalame|,,,,,,,,,1,,,,,,,,,,,,
Transition,/mo(n`Oka)(l'ame)/,|mOnokalame|,,,,,,,,1,1,,,,,,,,,,,,
Transition,/mo(n`Oka)(l'ame)/,|monOkalame|,,,,,,,,,,,,,,,,,,,,,
Transition,/mo(n`Oka)(l'ame)/,|mOnOkalame|,,,,,,,,1,,,,,,,,,,,,,
Transition,/(m`OnO)ka(l'ame)/,|monokalame|,,,,,,,,,2,,,,,,,,,,,,
Transition,/(m`OnO)ka(l'ame)/,|mOnokalame|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(m`OnO)ka(l'ame)/,|monOkalame|,,,,,,,,,1,,,,,,,,,,,,
Transition,/(m`OnO)ka(l'ame)/,|mOnOkalame|,,,,,,,,,,,,,,,,,,,,,
Transition,/mO(n`Oka)(l'ame)/,|monokalame|,,,,,,,,,2,,,,,,,,,,,,
Transition,/mO(n`Oka)(l'ame)/,|mOnokalame|,,,,,,,,,1,,,,,,,,,,,,
Transition,/mO(n`Oka)(l'ame)/,|monOkalame|,,,,,,,,,1,,,,,,,,,,,,
Transition,/mO(n`Oka)(l'ame)/,|mOnOkalame|,,,,,,,,,,,,,,,,,,,,,
Transition,|monokalame|,(2)/(m`ono)ka(l'ame)/,,,,,,,,,,,,,,,1,,,,,,3
Transition,|monokalame|,(2)/mo(n`oka)(l'ame)/,,,,,,,,,,,,,,,1,,,,,1,2
Transition,|monokalame|,(2)/(m`Ono)ka(l'ame)/,,,,,,,,,,1,,,,,1,1,1,,,,3
Transition,|monokalame|,(2)/mO(n`oka)(l'ame)/,,,,,,,,,,1,,,,,,1,,,,1,2
Transition,|monokalame|,(2)/(m`onO)ka(l'ame)/,,,,,,,,,,1,,,,,,1,,,,,3
Transition,|monokalame|,(2)/mo(n`Oka)(l'ame)/,,,,,,,,,,1,,,,,1,1,1,,,1,2
Transition,|monokalame|,(2)/(m`OnO)ka(l'ame)/,,,,,,,,,,2,,,,,,2,1,,,,3
Transition,|monokalame|,(2)/mO(n`Oka)(l'ame)/,,,,,,,,,,2,,,,,,2,1,,,1,2
Transition,|mOnokalame|,(2)/(m`ono)ka(l'ame)/,,,,,,,,,,,1,,,,1,,,,,,3
Transition,|mOnokalame|,(2)/mo(n`oka)(l'ame)/,,,,,,,,,,,1,,,,1,,,,,1,2
Transition,|mOnokalame|,(2)/(m`Ono)ka(l'ame)/,,,,,,,,,,,,,,,1,1,1,,,,3
Transition,|mOnokalame|,(2)/mO(n`oka)(l'ame)/,,,,,,,,,,,,,,,,1,,,,1,2
Transition,|mOnokalame|,(2)/(m`onO)ka(l'ame)/,,,,,,,,,,1,1,,,,,1,,,,,3
Transition,|mOnokalame|,(2)/mo(n`Oka)(l'ame)/,,,,,,,,,,1,1,,,,1,1,1,,,1,2
Transition,|mOnokalame|,(2)/(m`OnO)ka(l'ame)/,,,,,,,,,,1,,,,,,2,1,,,,3
Transition,|mOnokalame|,(2)/mO(n`Oka)(l'ame)/,,,,,,,,,,1,,,,,,2,1,,,1,2
Transition,|monOkalame|,(2)/(m`ono)ka(l'ame)/,,,,,,,,,,,1,,,,1,,,,,,3
Transition,|monOkalame|,(2)/mo(n`oka)(l'ame)/,,,,,,,,,,,1,,,,1,,,,,1,2
Transition,|monOkalame|,(2)/(m`Ono)ka(l'ame)/,,,,,,,,,,1,1,,,,1,1,1,,,,3
Transition,|monOkalame|,(2)/mO(n`oka)(l'ame)/,,,,,,,,,,1,1,,,,,1,,,,1,2
Transition,|monOkalame|,(2)/(m`onO)ka(l'ame)/,,,,,,,,,,,,,,,,1,,,,,3
Transition,|monOkalame|,(2)/mo(n`Oka)(l'ame)/,,,,,,,,,,,,,,,1,1,1,,,1,2
Transition,|monOkalame|,(2)/(m`OnO)ka(l'ame)/,,,,,,,,,,1,,,,,,2,1,,,,3
Transition,|monOkalame|,(2)/mO(n`Oka)(l'ame)/,,,,,,,,,,1,,,,,,2,1,,,1,2
Transition,|mOnOkalame|,(2)/(m`ono)ka(l'ame)/,,,,,,,,,,,2,,,,1,,,,,,3
Transition,|mOnOkalame|,(2)/mo(n`oka)(l'ame)/,,,,,,,,,,,2,,,,1,,,,,1,2
Transition,|mOnOkalame|,(2)/(m`Ono)ka(l'ame)/,,,,,,,,,,,1,,,,1,1,1,,,,3
Transition,|mOnOkalame|,(2)/mO(n`oka)(l'ame)/,,,,,,,,,,,1,,,,,1,,,,1,2
Transition,|mOnOkalame|,(2)/(m`onO)ka(l'ame)/,,,,,,,,,,,1,,,,,1,,,,,3
Transition,|mOnOkalame|,(2)/mo(n`Oka)(l'ame)/,,,,,,,,,,,1,,,,1,1,1,,,1,2
Transition,|mOnOkalame|,(2)/(m`OnO)ka(l'ame)/,,,,,,,,,,,,,,,,2,1,,,,3
Transition,|mOnOkalame|,(2)/mO(n`Oka)(l'ame)/,,,,,,,,,,,,,,,,2,1,,,1,2
Observation,[m'inIst3] (ignoring first foot),(2)/mini(s'ita)/,9,,,,,,,,,,,,,,,,,,,,
Observation,[m'inIst3] (ignoring first foot),(2)/minisI(t'aa)/,13.5,,,,,,,,,,,,,,,,,,,,
Observation,[m'inIst3] (ignoring first foot),(2)/minisi(t'aa)/,13.5,,,,,,,,,,,,,,,,,,,,
Observation,[k'ust3m3] (ignoring first foot),(2)/kasi(t'oma)/,28,,,,,,,,,,,,,,,,,,,,
Observation,[k'ust3m3] (ignoring first foot),(2)/kasito(m'aa)/,15,,,,,,,,,,,,,,,,,,,,
Observation,[sEpt'Emb3] (ignoring first foot),(2)/sepi(t'ema)/,35,,,,,,,,,,,,,,,,,,,,
Observation,[mer'Idi3n] (ignoring footing. e insertion),(2)/(m`eli)ti('ane)/,9,,,,,,,,,,,,,,,,,,,,
Observation,[pr'Ez3d`Ent] (ignoring footing. e and final i insertion),(2)/pe(l`esi)(t'eni)/,63,,,,,,,,,,,,,,,,,,,,
Observation,[pr'Ez3d`Ent] (ignoring footing. e and final i insertion),(2)/pe(l`esI)(t'eni)/,12,,,,,,,,,,,,,,,,,,,,
Observation,[kr'Ist3l] (ignoring a insertions),(2)/ka(l`isi)(t'ala)/,112,,,,,,,,,,,,,,,,,,,,
Observation,[kr'Ist3l] (ignoring a insertions),(2)/ka(l`isI)(t'ala)/,97,,,,,,,,,,,,,,,,,,,,
Observation,[fr'AkS3n] (ignoring i insertions),(2)/(f`ala)ki(s'eni)/,17,,,,,,,,,,,,,,,,,,,,
Observation,[fr'AkS3n] (ignoring i insertions),(2)/fA(l`aki)(s'eni)/,48,,,,,,,,,,,,,,,,,,,,
Observation,[k`ANg3r'u],(2)/(k`agi)ka(l'uu)/,39.5,,,,,,,,,,,,,,,,,,,,
Observation,[k`ANg3r'u],(2)/ka(g`ika)(l'uu)/,16,,,,,,,,,,,,,,,,,,,,
Observation,[k`ANg3r'u],(2)/(k`agI)ka(l'uu)/,39.5,,,,,,,,,,,,,,,,,,,,
Observation,[m'an3gr`Am] (ignoring a and e insertion),(2)/(m`ono)ka(l'ame)/,49,,,,,,,,,,,,,,,,,,,,
Observation,[m'an3gr`Am] (ignoring a and e insertion),(2)/mo(n`oka)(l'ame)/,22,,,,,,,,,,,,,,,,,,,,
